fpNodeId,Row,Column,line id,line name,packet_stemid,position,pot_stemid,Flowering Date_20180524.40.1,Flowering Date_20180725.15.1,Flowering Date_20180817.2.1,final leaf number_20180524.41.1,final leaf number_20181204.26.1,final leaf number_20181210.31.1,spikelet number_20180524.42.1,spikelet number_20181204.27.1,spikelet number_20181210.32.1,Height_20180524.43.1,Height_20181204.28.1,Height_20181210.33.1,tillers_20180524.44.1,tillers_20181204.29.1,tillers_20181210.34.1,empty spikelets_20180524.45.1,empty spikelets_20181204.30.1,empty spikelets_20181210.35.1,Spike Length_20181122.59.1,Spike Length_20181204.31.1,Spike Length_20181210.36.1,Photo_20181129.60.1,Photo_20181204.32.1,seed weight_20190208.65.1,plant_date_20190318.1.1,vern_end_date_20190318.1.1
280619,6,4,32,KITE,ST50PKT0YJKF,1F4,ST50PT0W4CH,,20180810,,8,,,18,,,428,,,6,,,3,,,93,,,,,8.48,20180413,20180613
280620,6,5,158,BAXTER,ST50PKT0YJKD,1F5,ST50PT0W3GW,,20180820,,6,,,5,,,287,,,6,,,2,,,42,,,,,4.31,20180413,20180613
280621,6,6,144,SUNBROOK,ST50PKT0YJKC,1F6,ST50PT0W3M4,,20180924,,10,,,29,,,546,,,3,,,3,,,97,,,,,2.86,20180413,20180613
280622,6,7,206,MAROMBI,ST50PKT0YJKB,1F7,ST50PT0W3BM,,20180827,,10,,,19,,,697,,,3,,,4,,,78,,,,,4.99,20180413,20180613
280623,6,8,238,AXE,ST50PKT0YJK9,1F8,ST50PT0W2ZL,,20180806,,7,,,15,,,444,,,3,,,1,,,60,,,,,2.79,20180413,20180613
280624,6,9,71,MACHETE,ST50PKT0YJK8,1F9,ST50PT0W42B,,20180820,,7,,,20,,,492,,,3,,,2,,,78,,,,,6.31,20180413,20180613
280625,6,10,214,ELLISON,ST50PKT0YJK7,1F10,ST50PT0W2XS,,20181008,,10,,,20,,,358,,,6,,,4,,,84,,,,,7.1,20180413,20180613
280626,6,11,162,PERSIA79,ST50PKT0YJK6,1F11,ST50PT0W3G3,,,,,,13,,,14,,,690,,,12,,,2,,,87,,,12.57,20180413,20180613
280627,6,12,209,QT7208,ST50PKT0YJK5,1F12,ST50PT0W3B1,,20180824,,9,,,18,,,309,,,8,,,1,,,66,,,,,5.64,20180413,20180613
280628,7,1,62,COCAMBA,ST50PKT0YJK4,1G1,ST50PT0W442,,20180808,,9,,,15,,,378,,,8,,,0,,,76,,,,,5.21,20180413,20180613
280629,7,2,254,EGA_WILLS,ST50PKT0YJK3,1G2,ST50PT0W2WT,,20180824,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,,,7.33,20180413,20180613
280630,7,3,142,CUNDERDIN,ST50PKT0YJK2,1G3,ST50PT0W3JC,,20180806,,8,,,15,,,440,,,7,,,1,,,73,,,,,1.72,20180413,20180613
280631,7,4,203,LORIKEET,ST50PKT0YJK1,1G4,ST50PT0W3C6,,20180806,,8,,,16,,,387,,,6,,,2,,,66,,,,,1.8,20180413,20180613
280632,7,5,18,DUNDEE,ST50PKT0YJK0,1G5,ST50PT0W4G6,,20180827,,10,,,19,,,563,,,8,,,0,,,74,,,,,1.3,20180413,20180613
280633,7,6,286,CMSS97MOO316S-OP20M-OP20Y-43M-0Y,ST50PKT0YJJZ,1G6,ST50PT0W2R6,,20180813,,8,,,17,,,496,,,3,,,1,,,89,,,,,1.2,20180413,20180613
280634,7,7,277,HARPER,ST50PKT0YJJY,1G7,ST50PT0W2SY,,20180831,,11,,,22,,,638,,,7,,,5,,,84,,,,,10.43,20180413,20180613
280635,7,8,135,CL3,ST50PKT0YJJX,1G8,ST50PT0W3KQ,,20180808,,8,,,16,,,403,,,14,,,1,,,70,,,,,6.79,20180413,20180613
280636,7,9,28,LANCER,ST50PKT0YJJW,1G9,ST50PT0W4D8,,20180813,,8,,,12,,,320,,,2,,,4,,,57,,,,,1.15,20180413,20180613
280637,7,10,12,SABRE,ST50PKT0YJJV,1G10,ST50PT0W48X,,20180906,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,,,6.66,20180413,20180613
280638,7,11,162,PERSIA79,ST50PKT0YJJT,1G11,ST50PT0W3G2,,,,,,12,,,15,,,605,,,11,,,4,,,77,,,11.07,20180413,20180613
280639,7,12,84,MISKLE,ST50PKT0YJJS,1G12,ST50PT0W3Y6,,20180820,,,,8,,,19,,,315,,,6,,,3,,,87,,,9.79,20180413,20180613
280640,8,1,123,HOUTMAN,ST50PKT0YJJR,1H1,ST50PT0W3VH,,20180806,,8,,,17,,,498,,,3,,,2,,,80,,,,,3.48,20180413,20180613
280641,8,2,241,MERINDA,ST50PKT0YJJQ,1H2,ST50PT0W2Z0,,20180913,,10,,,26,,,396,,,8,,,6,,,76,,,,,11.62,20180413,20180613
280642,8,3,21,INSIGNIA,ST50PKT0YJJP,1H3,ST50PT0W4FM,,20180927,,10,,,22,,,693,,,7,,,3,,,104,,,,,9.78,20180413,20180613
280643,8,4,268,FRONTANA,ST50PKT0YJJN,1H4,ST50PT0W2PV,,20180810,,9,,,17,,,862,,,5,,,1,,,98,,,,,3.78,20180413,20180613
280644,8,5,118,ARNHEM,ST50PKT0YJJM,1H5,ST50PT0W3WG,,20180801,,7,,,18,,,621,,,3,,,1,,,89,,,,,3.27,20180413,20180613
280645,8,6,175,MULGARA,ST50PKT0YJJL,1H6,ST50PT0W3CL,,20180903,20180817,8,,,19,,,382,,,6,,,3,,,80,,,,,3.56,20180413,20180613
280646,8,7,117,BARUNGA,ST50PKT0YJJK,1H7,ST50PT0W3WN,,20180808,,8,,,18,,,438,,,7,,,1,,,88,,,,,5.57,20180413,20180613
280647,8,8,243,MACE,ST50PKT0YJJJ,1H8,ST50PT0W2YM,,20180806,,,,8,,,17,,,420,,,5,,,1,,,65,,,4.06,20180413,20180613
280648,8,9,281,WEDIN,ST50PKT0YJJH,1H9,ST50PT0W2S6,,20180903,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,,,8.38,20180413,20180613
280649,8,10,158,BAXTER,ST50PKT0YJJG,1H10,ST50PT0W3GV,,20180824,,9,,,13,,,527,,,6,,,2,,,68,,,,,3.48,20180413,20180613
280650,8,11,4,GABO,ST50PKT0YJJF,1H11,ST50PT0W476,,20180831,,8,,,11,,,412,,,5,,,0,,,55,,,,,4.1,20180413,20180613
280651,8,12,164,POLAND9,ST50PKT0YJJD,1H12,ST50PT0W3FQ,,,,13,,,24,,,780,,,6,,,4,,,115,,,,,10.73,20180413,20180613
280652,9,1,66,CORELLA,ST50PKT0YJJC,1I1,ST50PT0W439,,,20180817,,8,,,16,,,350,,,9,,,16,,,80,,,NA,6.58,20180413,20180613
280653,9,2,46,LANCE,ST50PKT0YJJB,1I2,ST50PT0W45H,,20180815,,,8,,,20,,,430,,,7,,,20,,,96,,,NA,8.83,20180413,20180613
280654,9,3,278,KING_ROCK,ST50PKT0YJJ9,1I3,ST50PT0W2SS,,20180806,,,7,,,14,,,420,,,4,,,2,,,60,,,NA,2.35,20180413,20180613
280655,9,4,252,PEAKE,ST50PKT0YJJ8,1I4,ST50PT0W2PF,,20180806,,,7,,,14,,,415,,,9,,,1,,,58,,,NA,4.83,20180413,20180613
280656,9,5,173,PBW343,ST50PKT0YJGM,1I5,ST50PT0W3CY,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,NA,20180413,20180613
280657,9,6,116,FRAME,ST50PKT0YJGL,1I6,ST50PT0W3WT,,20180921,,,10,,,21,,,435,,,6,,,7,,,83,,,NA,7.28,20180413,20180613
280658,9,7,41,MERLIN,ST50PKT0YJGK,1I7,ST50PT0W49R,,,,13,,,23,,,570,,,6,,,0,,,105,,,,,11.87,20180413,20180613
280659,9,8,82,WILGOYNE,ST50PKT0YJGJ,1I8,ST50PT0W3YL,,20180806,,,7,,,15,,,484,,,2,,,2,,,77,,,NA,1.7,20180413,20180613
280660,9,9,130,SWIFT,ST50PKT0YJGH,1I9,ST50PT0W3N9,,20180810,,,8,,,21,,,355,,,3,,,2,,,75,,,NA,3.03,20180413,20180613
280661,9,10,113,BD159,ST50PKT0YJGG,1I10,ST50PT0W3XF,,20180815,,,8,,,19,,,295,,,5,,,0,,,68,,,NA,7.45,20180413,20180613
280662,9,11,213,EGA_WEDGETAIL,ST50PKT0YJGF,1I11,ST50PT0W2XZ,,20180808,,,8,,,17,,,395,,,5,,,4,,,73,,,NA,3.43,20180413,20180613
280663,9,12,143,CARNAMAH,ST50PKT0YJGD,1I12,ST50PT0W3MD,,20180810,,,7,,,15,,,375,,,5,,,1,,,75,,,NA,2.67,20180413,20180613
